,Name,City,School district,Rating,Test Scores,College Readiness,Lat,Lon,S-T ratio,White,Asian,Black,Hispanic,Average teacher salary
0,Randolph High School,Randolph,Randolph Township School District,7,7,10,40.846462,-74.56663,11,75%,9%,3%,12%,"68,303"
1,Roxbury High School,Roxbury Township,Roxbury Township School District,4,5,5,40.861923,-74.64078,12,73%,6%,3%,16%,"75,374"
2,Dover High School,Dover,Dover Public School District,4,5,3,40.897945,-74.55969,13,8%,2%,5%,85%,"68,629"
3,Morris Hills High School,Rockaway,Morris Hills Regionalschool District,6,7,7,40.890835,-74.52918,9,49%,11%,3%,36%,"70,438"
4,"Mathematics, Science & Engineering School",Rockaway,Morris County Vocational School District,9,N/A,10,40.890835,-74.52918,6,11%,85%,1%,2%,"99,820"
5,West Morris Mendham High School,Mendham,West Morris Regional High School District,8,8,10,40.77616,-74.59208,13,85%,6%,1%,6%,"72,655"
6,Regional Day School,Morristown,Educational Services Commission Of Morris County School District,N/A,N/A,N/A,40.825626,-74.50166,N/A,42%,4%,13%,33%,"52,530"
7,Morris Hills Adult High School,Rockaway,Morris Hills Regionalschool District,N/A,N/A,N/A,40.8847,-74.5104,N/A,N/A,N/A,N/A,N/A,N/A
8,Morris Knolls High School,Rockaway,Morris Hills Regionalschool District,6,7,7,40.885643,-74.50858,10,78%,6%,2%,12%,"77,221"
9,Park Lake School,Rockaway,Educational Services Commission Of Morris County School District,N/A,N/A,N/A,40.90514,-74.51451,N/A,80%,2%,<1%,17%,"49,467"
10,Morris Co School Of Tech,Denville,Morris County Vocational School District,10,10,10,40.87857,-74.479126,11,62%,23%,1%,11%,"74,729"
11,Morristown High School,Morristown,Morris School District,4,4,6,40.801147,-74.48645,15,54%,5%,9%,32%,"75,240"
12,Mt  Olive High School,Mount Olive Township,Mount Olive Township School District,7,8,7,40.858616,-74.71398,13,68%,11%,6%,13%,"62,442"
13,Hopatcong High School,Hopatcong,Hopatcong Borough School District,4,3,4,40.926636,-74.67085,11,75%,2%,3%,18%,"79,054"
14,Parsippany Hills High School,Morris Plains,Parsippany-Troy Hills Township School District,6,7,8,40.86156,-74.456406,10,43%,39%,3%,12%,"69,295"
15,Lenape Val Regional High School,Stanhope,Lenape Valley Regional Highschool District,5,5,7,40.91974,-74.700325,13,81%,3%,3%,13%,"71,228"
16,West Morris Central High School,Chester,West Morris Regional High School District,8,8,9,40.812294,-74.72927,13,85%,4%,2%,7%,"72,552"
17,Bernards High School,Bernardsville,Somerset Hills Regional School District,7,7,9,40.721363,-74.56713,11,74%,7%,1%,17%,"68,782"
18,Whippany Park High School,Hanover,Hanover Park Regional High School District,7,6,9,40.814217,-74.423706,12,76%,13%,3%,8%,"73,214"
19,Mountain Lakes High School,Mountain Lakes,Mountain Lakes Board Of Education School District,8,9,9,40.89519,-74.42708,11,81%,11%,<1%,5%,"69,561"
20,Parsippany High School,Parsippany-Troy Hills,Parsippany-Troy Hills Township School District,7,8,7,40.869724,-74.391945,10,47%,34%,3%,13%,"72,799"
21,Boonton High School,Boonton,Boonton Town School District,5,5,6,40.90322,-74.40303,11,63%,13%,6%,16%,"72,649"
